transaction_id,customer_id,transaction_date,total_amount
T000182,C000076,2024-03-12,938000
T000183,C000519,2024-06-27,401000
T000184,C000136,2024-12-15,140000
T000185,C000903,2023-05-21,282000
T000186,C000901,2024-05-15,3324000
T000187,C000379,2024-08-06,3950000
T000188,C000162,2025-06-16,2783000
T000189,C000854,2024-09-11,1896000
T000190,C000627,2025-12-19,1903000
T000191,C000009,2024-09-05,3805000
T000192,C000955,2023-08-01,2199000
T000193,C000962,2023-10-03,412000
T000194,C000271,2023-08-25,2717000
T000195,C000912,2023-08-08,3661000
T000196,C000761,2023-11-15,513000
T000197,C000279,2024-07-31,1800000
T000198,C000620,2024-03-07,462000
T000199,C000735,2024-12-03,675000
T000200,C000209,2024-06-24,2937000
T000201,C000518,2025-09-27,3120000
T000202,C000258,2023-04-15,329000
T000203,C000095,2025-05-17,752000
T000204,C000850,2024-07-20,2556000
T000205,C000046,2023-01-08,783000
T000206,C000342,2023-09-25,2578000
T000207,C000653,2024-06-20,1956000
T000208,C000166,2025-06-23,623000
T000209,C000565,2025-05-25,2518000
T000210,C000575,2023-01-20,6415000
T000211,C000115,2023-06-04,2880000
T000212,C000968,2023-11-02,1147000
T000213,C000559,2023-03-15,1511000
T000214,C000855,2025-01-26,1407000
T000215,C000597,2023-10-31,1151000
T000216,C000441,2023-09-19,4584000
T000217,C000043,2024-09-23,2305000
T000218,C000374,2023-03-23,144000
T000219,C000921,2025-01-02,343000
T000220,C000216,2024-05-26,2349000
T000221,C000683,2023-07-30,3594000
T000222,C000363,2025-04-12,3434000
T000223,C000998,2023-11-13,2172000
T000224,C000948,2024-04-29,2165000
T000225,C000886,2023-11-29,2216000
T000226,C001000,2023-12-29,5684000
T000227,C000903,2025-04-24,4441000
T000228,C000026,2024-01-03,980000
T000229,C000755,2024-11-11,2986000
T000230,C000802,2025-04-23,3544000
T000231,C000822,2024-05-23,1315000
T000232,C000274,2023-11-23,5793000
T000233,C000807,2023-08-10,1140000
T000234,C000392,2023-03-21,2891000
T000235,C000880,2025-08-21,3622000
T000236,C000228,2024-02-13,4227000
T000237,C000837,2025-07-31,1095000
T000238,C000359,2024-09-17,3347000
T000239,C000841,2024-04-11,465000
T000240,C000229,2023-02-18,2260000
T000241,C000676,2024-01-31,1806000
T000242,C000409,2024-11-03,1996000
T000243,C000286,2023-05-23,5125000
T000244,C000991,2024-07-25,3345000
T000245,C000360,2025-11-09,4048000
T000246,C000410,2024-11-09,1839000
T000247,C000962,2023-02-26,1182000
T000248,C000119,2024-06-18,2238000
T000249,C000183,2024-06-27,1443000
T000250,C000040,2023-08-11,1775000
T000251,C000611,2025-06-08,6404000
T000252,C000354,2024-10-04,3781000
T000253,C000447,2025-11-13,1997000
T000254,C000119,2025-02-27,2720000
T000255,C000922,2024-01-25,347000
T000256,C000261,2023-04-01,3403000
T000257,C000726,2025-06-12,810000
T000258,C000002,2025-11-30,5143000
T000259,C000948,2024-02-08,302000
T000260,C000373,2025-06-02,832000
T000261,C000072,2024-11-07,2308000
T000262,C000639,2024-10-04,1820000
T000263,C000680,2023-09-13,1815000
T000264,C000738,2024-09-07,4321000
T000265,C000520,2024-09-25,1476000
T000266,C000683,2025-04-16,2984000
T000267,C000335,2025-04-04,6944000
T000268,C000714,2024-08-28,1236000
T000269,C000568,2023-09-18,160000
T000270,C000197,2025-05-11,3164000
T000271,C000681,2025-02-15,1138000
T000272,C000694,2023-12-23,618000
T000273,C000631,2024-09-08,4310000
T000274,C000416,2023-01-01,2218000
T000275,C000312,2024-08-10,3042000
T000276,C000216,2025-05-30,2206000
T000277,C000805,2024-10-21,1814000
T000278,C000477,2025-06-23,5032000
T000279,C000453,2024-03-13,4388000
T000280,C000524,2025-08-27,4512000
T000281,C000813,2023-12-14,919000
T000282,C000675,2023-06-23,1961000
T000283,C000291,2025-11-21,3239000
T000284,C000680,2024-11-17,4554000
T000285,C000096,2024-04-26,1065000
T000286,C000689,2024-09-27,2405000
T000287,C000231,2024-02-12,1298000
T000288,C000151,2023-02-20,756000
T000289,C000048,2024-05-16,1084000
T000290,C000487,2023-05-30,4416000
T000291,C000467,2025-04-28,2751000
T000292,C000908,2024-02-03,2599000
T000293,C000736,2025-02-25,3751000
T000294,C000507,2025-03-29,1332000
T000295,C000250,2023-10-30,2725000
T000296,C000672,2023-01-12,3424000
T000297,C000915,2023-08-07,118000
T000298,C000798,2025-05-20,225000
T000299,C000225,2023-12-27,1523000
T000300,C000824,2025-11-26,1203000
T000301,C000476,2023-04-13,1215000
T000302,C000571,2024-05-25,2994000
T000303,C000940,2023-09-06,988000
T000304,C000468,2023-10-01,1609000
T000305,C000821,2025-08-09,1479000
T000306,C000684,2025-12-23,3808000
T000307,C000573,2024-10-11,2987000
T000308,C000973,2025-06-25,1706000
T000309,C000628,2025-10-30,2376000
T000310,C000437,2025-07-02,1510000
T000311,C000919,2023-11-22,1461000
T000312,C000762,2025-08-30,3279000
T000313,C000461,2024-06-14,632000
T000314,C000770,2024-05-21,5621000
T000315,C000861,2024-07-21,968000
T000316,C000785,2025-12-03,2778000
T000317,C000497,2024-05-04,279000
T000318,C000282,2025-06-19,706000
T000319,C000080,2024-08-08,1803000
T000320,C000241,2024-07-10,476000
T000321,C000344,2024-10-16,200000
T000322,C000915,2023-06-15,3217000
T000323,C000142,2023-11-05,3190000
T000324,C000237,2025-02-23,558000
T000325,C000711,2023-11-09,954000
T000326,C000724,2024-03-14,1677000
T000327,C000066,2025-04-29,3624000
T000328,C000418,2024-11-08,1987000
T000329,C000556,2025-08-12,2993000
T000330,C000426,2023-05-08,3282000
T000331,C000212,2025-05-10,1436000
T000332,C000399,2023-02-10,1767000
T000333,C000878,2025-02-18,2308000
T000334,C000489,2023-01-13,3911000
T000335,C000966,2024-12-21,3179000
T000336,C000306,2025-03-09,1725000
T000337,C000874,2025-05-08,3566000
T000338,C000552,2024-03-27,932000
T000339,C000500,2024-03-25,2845000
T000340,C000280,2025-06-11,3250000
T000341,C000498,2023-03-01,520000
T000342,C000399,2024-11-19,2590000
T000343,C000685,2025-04-08,2338000
T000344,C000742,2023-12-05,911000
T000345,C000861,2025-08-15,2579000
T000346,C000942,2023-09-19,2056000
T000347,C000638,2025-12-29,2235000
T000348,C000028,2025-03-17,656000
T000349,C000607,2023-02-25,2752000
T000350,C000086,2025-05-27,3395000
T000351,C000139,2025-08-03,3522000
T000352,C000187,2023-04-13,1900000
T000353,C000267,2025-02-15,2445000
T000354,C000336,2024-03-09,4839000
T000355,C000466,2024-10-31,2627000
T000356,C000346,2025-02-15,1536000
T000357,C000285,2025-05-13,1753000
T000358,C000259,2023-06-17,3723000
T000359,C000482,2023-02-09,1096000
T000360,C000768,2023-04-17,2719000
T000361,C000975,2024-12-17,1428000
T000362,C000230,2023-05-21,1987000
T000363,C000800,2023-03-24,1092000
T000364,C000773,2023-03-05,5653000
T000365,C000973,2024-05-21,2797000
T000366,C000205,2023-02-11,426000
T000367,C000637,2023-11-09,3751000
T000368,C000245,2023-09-16,4249000
T000369,C000485,2023-08-23,3215000
T000370,C000578,2024-03-22,4263000
T000371,C000477,2024-06-08,3076000
T000372,C000786,2025-01-25,2974000
T000373,C000172,2023-08-23,1013000
T000374,C000797,2023-12-02,3413000
T000375,C000988,2024-09-29,2345000
T000376,C000111,2023-02-22,740000
T000377,C000952,2024-09-30,3222000
T000378,C000590,2025-02-07,3976000
T000379,C000407,2024-02-11,962000
T000380,C000078,2024-05-12,3315000
T000381,C000105,2024-09-09,1031000
T000382,C000871,2023-09-05,4037000
T000383,C000816,2023-03-26,2189000
T000384,C000356,2025-12-27,1344000
T000385,C000439,2025-01-28,2903000
T000386,C000071,2025-11-02,918000
T000387,C000664,2024-11-29,1411000
T000388,C000013,2025-05-10,3375000
T000389,C000843,2025-09-30,3639000
T000390,C000109,2025-06-06,2257000
T000391,C000984,2025-01-11,1248000
T000392,C000651,2025-07-30,2182000
T000393,C000725,2023-11-10,2461000
T000394,C000446,2023-12-27,1552000
T000395,C000752,2025-12-04,4643000
T000396,C000989,2024-07-07,3263000
T000397,C000631,2025-09-17,4863000
T000398,C000477,2025-06-11,4917000
T000399,C000846,2024-07-03,741000
T000400,C000331,2024-05-17,1143000
T000401,C000851,2023-06-27,299000
T000402,C000286,2025-07-12,1060000
T000403,C000250,2025-08-09,756000
T000404,C000584,2025-02-15,1700000
T000405,C000345,2023-02-28,4795000
T000406,C000507,2024-10-27,1084000
T000407,C000187,2025-09-25,2192000
T000408,C000218,2024-12-27,603000
T000409,C000817,2024-06-13,1817000
T000410,C000349,2024-07-26,3062000
T000411,C000902,2024-07-19,802000
T000412,C000570,2023-01-21,300000
T000413,C000530,2024-01-27,2285000
T000414,C000088,2024-05-09,351000
T000415,C000738,2025-04-12,4818000
T000416,C000501,2024-05-07,1618000
T000417,C000708,2025-09-02,4239000
T000418,C000662,2025-10-02,1578000
T000419,C000459,2023-02-05,3525000
T000420,C000096,2024-08-25,3770000
T000421,C000227,2025-04-08,2893000
T000422,C000709,2024-05-13,1438000
T000423,C000314,2025-01-25,72000
T000424,C000485,2025-12-23,2179000
T000425,C000353,2025-05-21,3104000
T000426,C000764,2024-11-08,1944000
T000427,C000361,2025-07-18,652000
T000428,C000278,2024-09-19,1808000
T000429,C000258,2024-04-17,1256000
T000430,C000124,2024-01-30,2614000
T000431,C000324,2023-09-02,2802000
T000432,C000761,2024-01-15,3326000
T000433,C000197,2024-03-19,1569000
T000434,C000757,2025-09-18,2734000
T000435,C000284,2025-12-10,1416000
T000436,C000612,2024-08-02,4250000
T000437,C000103,2024-02-02,2263000
T000438,C000304,2024-04-10,1923000
T000439,C000370,2024-01-03,2488000
T000440,C000310,2023-01-29,34000
T000441,C000726,2025-12-29,485000
T000442,C000130,2024-07-15,3223000
T000443,C000047,2023-04-22,730000
T000444,C000567,2024-08-21,2575000
T000445,C000715,2023-09-16,3963000
T000446,C000654,2025-10-02,1566000
T000447,C000106,2023-01-26,879000
T000448,C000588,2024-08-05,1837000
T000449,C000481,2025-09-07,1364000
T000450,C000452,2024-11-28,3305000
T000451,C000189,2023-04-16,842000
T000452,C000259,2025-09-05,3786000
T000453,C000117,2023-05-14,979000
T000454,C000411,2025-10-04,526000
T000455,C000076,2023-04-20,5019000
T000456,C000156,2023-11-02,4232000
T000457,C000831,2024-09-14,3934000
T000458,C000088,2024-05-23,3148000
T000459,C000122,2025-05-02,1151000
T000460,C000621,2024-04-07,2966000
T000461,C000795,2025-12-06,2011000
T000462,C000390,2025-07-11,428000
T000463,C000931,2025-06-25,3309000
T000464,C000305,2025-05-28,1847000
T000465,C000313,2023-05-04,1330000
T000466,C000625,2023-07-23,2076000
T000467,C000971,2024-03-01,2473000
T000468,C000641,2024-03-08,60000
T000469,C000271,2023-06-16,3334000
T000470,C000161,2024-05-06,3561000
T000471,C000178,2023-06-03,2113000
T000472,C000161,2023-01-06,2249000
T000473,C000419,2025-07-11,564000
T000474,C000706,2025-08-20,2559000
T000475,C000299,2023-03-08,4542000
T000476,C000238,2024-08-13,219000
T000477,C000724,2024-08-02,4598000
T000478,C000720,2025-07-18,1520000
T000479,C000073,2024-04-23,813000
T000480,C000947,2024-06-25,5717000
T000481,C000807,2024-02-10,1350000
T000482,C000436,2023-08-24,4283000
T000483,C000558,2024-04-05,1930000
T000484,C000664,2023-11-02,5815000
T000485,C000931,2024-06-28,3419000
T000486,C000847,2023-10-19,731000
T000487,C000074,2023-05-03,3470000
T000488,C000170,2024-09-21,1527000
T000489,C000610,2024-08-14,1523000
T000490,C000450,2023-09-12,496000
T000491,C000480,2024-09-14,2696000
T000492,C000717,2025-04-04,2986000
T000493,C000966,2024-07-11,696000
T000494,C000513,2025-10-08,645000
T000495,C000449,2023-06-14,1128000
T000496,C000613,2023-03-23,670000
T000497,C000911,2025-06-03,2263000
T000498,C000753,2024-10-22,2465000
T000499,C000619,2024-05-27,478000
T000500,C000027,2023-07-07,452000
T000501,C000235,2023-02-12,4616000
T000502,C000784,2024-07-05,3841000
T000503,C000591,2023-03-24,3383000
T000504,C000782,2023-12-25,3307000
T000505,C000482,2025-11-28,1116000
T000506,C000668,2025-06-24,4132000
T000507,C000939,2024-07-23,3762000
T000508,C000186,2025-06-11,2256000
T000509,C000651,2025-10-04,6094000
T000510,C000993,2023-07-06,494000
T000511,C000482,2024-12-13,1711000
T000512,C000419,2024-11-13,4974000
T000513,C000329,2023-08-03,2015000
T000514,C000879,2023-11-26,2614000
T000515,C000338,2025-04-23,334000
T000516,C000711,2025-10-11,555000
T000517,C000296,2025-03-31,1001000
T000518,C000834,2023-03-17,792000
T000519,C000466,2023-06-30,2811000
T000520,C000323,2024-05-31,3867000
T000521,C000332,2023-08-26,800000
T000522,C000994,2025-04-07,636000
T000523,C000886,2025-11-19,1216000
T000524,C000845,2023-01-03,4582000
T000525,C000674,2025-08-04,382000
T000526,C000424,2023-04-22,3381000
T000527,C000193,2025-11-27,5092000
T000528,C000371,2025-10-17,2983000
T000529,C000641,2025-06-24,3157000
T000530,C000779,2023-04-16,337000
T000531,C000209,2024-06-30,1390000
T000532,C000563,2023-09-26,1799000
T000533,C000950,2024-08-12,1690000
T000534,C000449,2025-09-19,1106000
T000535,C000125,2023-03-01,230000
T000536,C000997,2024-05-05,2727000
T000537,C000727,2023-11-21,1386000
T000538,C000319,2023-01-29,1584000
T000539,C000566,2025-04-15,138000
T000540,C000096,2024-04-05,1056000
T000541,C000862,2023-08-21,1294000
T000542,C000473,2023-08-29,5112000
T000543,C000664,2023-11-12,2883000
T000544,C000511,2024-08-20,2031000
T000545,C000522,2024-07-13,1105000
T000546,C000426,2025-09-15,3101000
T000547,C000484,2024-05-14,3186000
T000548,C000468,2023-10-24,1564000
T000549,C000393,2024-01-26,3486000
T000550,C000944,2025-11-06,1356000
T000551,C000765,2023-10-07,2115000
T000552,C000885,2023-05-23,2572000
T000553,C000283,2025-04-29,395000
T000554,C000349,2025-11-05,5616000
T000555,C000274,2023-01-06,1954000
T000556,C000290,2024-09-03,1879000
T000557,C000858,2025-09-29,2490000
T000558,C000887,2023-11-01,1577000
T000559,C000458,2025-09-18,1317000
T000560,C000354,2024-11-11,2214000
T000561,C000566,2025-02-11,1817000
T000562,C000467,2024-10-21,3748000
T000563,C000891,2024-01-22,2218000
T000564,C000715,2024-05-04,515000
T000565,C000586,2025-02-23,351000
T000566,C000240,2025-04-21,2170000
T000567,C000045,2024-10-13,2395000
T000568,C000763,2025-08-26,2926000
T000569,C000723,2025-02-19,758000
T000570,C000396,2023-11-08,1302000
T000571,C000508,2023-03-17,4035000
T000572,C000130,2025-10-25,2001000
T000573,C000989,2024-11-10,1988000
T000574,C000891,2023-07-25,1532000
T000575,C000896,2025-06-20,232000
T000576,C000103,2025-12-13,1404000
T000577,C000933,2025-07-24,390000
T000578,C000016,2023-10-23,3100000
T000579,C000420,2023-11-13,439000
T000580,C000077,2025-08-19,1909000
T000581,C000801,2024-06-26,2029000
T000582,C000347,2025-03-25,1569000
T000583,C000666,2023-06-14,1666000
T000584,C000873,2024-11-03,3644000
T000585,C000873,2025-12-28,3182000
T000586,C000390,2024-10-10,713000
T000587,C000642,2025-09-26,2171000
T000588,C000894,2023-03-15,2973000
T000589,C000633,2023-05-21,4153000
T000590,C000241,2024-08-11,2289000
T000591,C000233,2023-07-05,833000
T000592,C000445,2023-07-21,2415000
T000593,C000779,2023-07-25,883000
T000594,C000455,2023-12-07,2542000
T000595,C000711,2024-09-05,875000
T000596,C000926,2023-03-01,2144000
T000597,C000048,2024-10-26,3250000
T000598,C000816,2023-04-25,4295000
T000599,C000301,2025-01-04,300000
T000600,C000384,2025-06-01,4175000
T000601,C000150,2024-05-15,3608000
T000602,C000544,2025-04-23,4988000
T000603,C000580,2024-01-04,4771000
T000604,C000175,2023-12-25,355000
T000605,C000081,2025-02-22,573000
T000606,C000635,2024-05-08,4048000
T000607,C000510,2023-10-21,2982000
T000608,C000238,2025-08-02,1772000
T000609,C000654,2024-06-04,2485000
T000610,C000471,2024-06-06,2836000
T000611,C000683,2023-01-20,672000
T000612,C000921,2025-08-10,5961000
T000613,C000923,2024-08-12,3216000
T000614,C000694,2023-11-20,2379000
T000615,C000076,2025-06-23,1263000
T000616,C000968,2024-12-08,4679000
T000617,C000602,2024-09-04,1916000
T000618,C000655,2025-05-18,776000
T000619,C000707,2024-05-27,1697000
T000620,C000468,2024-09-10,808000
T000621,C000204,2025-02-26,1299000
T000622,C000874,2025-09-16,137000
T000623,C000110,2024-04-30,1988000
T000624,C000391,2025-01-05,2351000
T000625,C000589,2024-08-28,1934000
T000626,C000717,2024-08-27,493000
T000627,C000023,2025-03-21,1962000
T000628,C000282,2023-01-17,671000
T000629,C000580,2023-04-11,4828000
T000630,C000933,2025-10-14,2872000
T000631,C000853,2024-08-09,4280000
T000632,C000795,2024-04-16,623000
T000633,C000622,2024-12-22,2905000
T000634,C000225,2024-01-25,204000
T000635,C000636,2024-05-28,2719000
T000636,C000695,2023-10-08,2001000
T000637,C000644,2023-07-18,2068000
T000638,C000926,2023-03-22,65000
T000639,C000317,2025-06-21,57000
T000640,C000035,2025-01-17,6177000
T000641,C000750,2023-09-27,2050000
T000642,C000093,2024-08-27,380000
T000643,C000335,2025-04-30,3507000
T000644,C000180,2024-02-16,2016000
T000645,C000136,2025-01-19,2297000
T000646,C000544,2025-10-24,2315000
T000647,C000936,2024-07-12,1839000
T000648,C000851,2023-12-03,4153000
T000649,C000264,2025-09-13,130000
T000650,C000991,2024-08-27,4775000
T000651,C000765,2024-11-24,2333000
T000652,C000824,2023-08-24,3709000
T000653,C000480,2023-06-04,3579000
T000654,C000145,2024-04-07,397000
T000655,C000881,2025-03-24,1674000
T000656,C000991,2025-01-19,5033000
T000657,C000093,2025-03-19,4000000
T000658,C000015,2024-06-25,416000
T000659,C000550,2023-09-11,1311000
T000660,C000466,2025-01-24,2499000
T000661,C000689,2024-06-20,2904000
T000662,C000599,2025-02-19,1910000
T000663,C000843,2025-01-30,1299000
T000664,C000111,2024-04-23,3473000
T000665,C000483,2023-02-21,1448000
T000666,C000635,2024-11-02,2782000
T000667,C000938,2024-03-29,3852000
T000668,C000664,2023-05-10,3332000
T000669,C000651,2025-08-08,715000
T000670,C000932,2024-09-10,3856000
T000671,C000665,2025-04-16,145000
T000672,C000120,2023-10-14,1611000
T000673,C000047,2023-03-18,354000
T000674,C000312,2025-10-05,2848000
T000675,C000119,2023-07-19,4846000
T000676,C000241,2023-10-05,3774000
T000677,C000398,2025-07-18,2120000
T000678,C000380,2025-05-08,1023000
T000679,C000602,2023-11-13,1891000
T000680,C000907,2025-04-29,2889000
T000681,C000671,2023-07-22,2772000
T000682,C000854,2025-09-29,2648000
T000683,C000631,2025-04-15,726000
T000684,C000962,2024-07-26,2444000
T000685,C000034,2025-01-28,1470000
T000686,C000223,2025-06-27,471000
T000687,C000456,2024-04-28,3739000
T000688,C000876,2025-01-12,1245000
T000689,C000102,2025-01-22,3191000
T000690,C000558,2025-01-04,2321000
T000691,C000063,2025-03-26,816000
T000692,C000283,2024-01-24,3400000
T000693,C000992,2023-09-08,2272000
T000694,C000972,2025-07-20,2194000
T000695,C000094,2024-03-10,3569000
T000696,C000658,2023-02-13,1931000
T000697,C000052,2024-11-14,4066000
T000698,C000250,2023-09-15,480000
T000699,C000806,2024-02-25,316000
T000700,C000071,2024-02-29,410000
T000701,C000601,2024-03-18,1848000
T000702,C000833,2024-04-22,620000
T000703,C000337,2023-10-30,1970000
T000704,C000808,2023-01-06,2553000
T000705,C000284,2023-10-24,5238000
T000706,C000134,2024-05-28,3036000
T000707,C000818,2023-12-24,3436000
T000708,C000113,2023-02-22,750000
T000709,C000135,2023-01-31,3339000
T000710,C000367,2024-05-02,1846000
T000711,C000603,2024-10-25,522000
T000712,C000017,2023-12-23,345000
T000713,C000272,2023-04-18,1540000
T000714,C000130,2025-05-12,620000
T000715,C000539,2023-08-21,1035000
T000716,C000764,2023-05-11,1684000
T000717,C000488,2025-07-07,1264000
T000718,C000797,2025-01-11,2676000
T000719,C000526,2023-08-12,458000
T000720,C000463,2025-10-28,450000
T000721,C000227,2023-03-30,3776000
T000722,C000745,2025-12-03,4417000
T000723,C000309,2025-07-27,3305000
T000724,C000659,2023-03-05,7167000
T000725,C000063,2025-09-07,1402000
T000726,C000868,2025-04-02,2791000
T000727,C000437,2023-08-10,1764000
T000728,C000503,2025-06-27,1372000
T000729,C000076,2023-06-15,1128000
T000730,C000330,2023-10-31,4354000
T000731,C000068,2023-09-16,2825000
T000732,C000282,2024-10-27,252000
T000733,C000391,2025-12-22,150000
T000734,C000302,2025-07-18,144000
T000735,C000518,2025-05-31,2919000
T000736,C000102,2023-08-23,873000
T000737,C000874,2024-03-16,2281000
T000738,C000441,2025-07-13,861000
T000739,C000910,2024-04-12,587000
T000740,C000424,2024-11-25,4372000
T000741,C000848,2025-07-17,1774000
T000742,C000409,2025-05-01,2342000
T000743,C000748,2023-07-14,3923000
