transaction_item_id,transaction_id,product_id,quantity,price
TI0000138,T000053,P000984,1,116000
TI0000139,T000054,P000071,1,42000
TI0000140,T000054,P000610,2,357000
TI0000141,T000055,P000123,2,436000
TI0000142,T000055,P000965,5,380000
TI0000143,T000055,P000912,5,76000
TI0000144,T000055,P000584,1,422000
TI0000145,T000056,P000084,5,325000
TI0000146,T000056,P000430,3,162000
TI0000147,T000056,P000674,3,165000
TI0000148,T000056,P000598,2,357000
TI0000149,T000056,P000579,3,494000
TI0000150,T000057,P000272,2,404000
TI0000151,T000057,P000406,3,213000
TI0000152,T000058,P000324,1,169000
TI0000153,T000058,P000952,1,4000
TI0000154,T000058,P000770,4,441000
TI0000155,T000058,P000959,5,255000
TI0000156,T000059,P000103,3,261000
TI0000157,T000059,P000076,2,38000
TI0000158,T000059,P000551,3,264000
TI0000159,T000059,P000219,1,440000
TI0000160,T000059,P000519,2,472000
TI0000161,T000060,P000292,5,17000
TI0000162,T000060,P000162,3,401000
TI0000163,T000060,P000449,5,391000
TI0000164,T000061,P000009,1,48000
TI0000165,T000061,P000684,2,206000
TI0000166,T000061,P000837,3,63000
TI0000167,T000061,P000568,1,106000
TI0000168,T000061,P000307,1,263000
TI0000169,T000062,P000160,3,304000
TI0000170,T000062,P000279,2,371000
TI0000171,T000062,P000289,3,233000
TI0000172,T000062,P000620,5,484000
TI0000173,T000062,P000216,4,227000
TI0000174,T000063,P000928,1,173000
TI0000175,T000063,P000930,1,154000
TI0000176,T000063,P000867,4,31000
TI0000177,T000064,P000046,2,174000
TI0000178,T000064,P000004,3,48000
TI0000179,T000064,P000342,2,213000
TI0000180,T000065,P000565,1,58000
TI0000181,T000065,P000723,1,213000
TI0000182,T000065,P000438,1,53000
TI0000183,T000065,P000575,2,479000
TI0000184,T000066,P000037,2,307000
TI0000185,T000066,P000855,4,459000
TI0000186,T000066,P000379,2,397000
TI0000187,T000066,P000597,1,483000
TI0000188,T000066,P000566,3,294000
TI0000189,T000067,P000921,1,474000
TI0000190,T000067,P000956,3,365000
TI0000191,T000067,P000816,2,178000
TI0000192,T000068,P000683,3,38000
TI0000193,T000068,P000106,5,374000
TI0000194,T000069,P000998,2,5000
TI0000195,T000069,P000636,2,236000
TI0000196,T000069,P000768,2,226000
TI0000197,T000069,P000159,4,347000
TI0000198,T000070,P000184,3,379000
TI0000199,T000071,P000822,2,259000
TI0000200,T000071,P000686,3,469000
TI0000201,T000071,P000885,2,52000
TI0000202,T000071,P000753,1,226000
TI0000203,T000072,P000894,2,136000
TI0000204,T000072,P000040,2,418000
TI0000205,T000072,P000880,4,328000
TI0000206,T000072,P000482,3,81000
TI0000207,T000073,P000841,2,463000
TI0000208,T000073,P000815,2,4000
TI0000209,T000073,P000893,1,499000
TI0000210,T000074,P000409,3,406000
TI0000211,T000074,P000337,1,215000
TI0000212,T000075,P000360,4,262000
TI0000213,T000075,P000657,5,163000
TI0000214,T000075,P000522,3,468000
TI0000215,T000076,P000119,3,338000
TI0000216,T000077,P000595,3,451000
TI0000217,T000077,P000986,1,86000
TI0000218,T000078,P000611,4,283000
TI0000219,T000079,P000747,4,341000
TI0000220,T000079,P000806,5,165000
TI0000221,T000079,P000322,5,48000
TI0000222,T000080,P000395,5,23000
TI0000223,T000081,P000261,4,280000
TI0000224,T000081,P000046,1,174000
TI0000225,T000082,P000948,2,130000
TI0000226,T000082,P000826,3,232000
TI0000227,T000082,P000552,4,49000
TI0000228,T000082,P000704,1,203000
TI0000229,T000082,P000737,3,87000
TI0000230,T000083,P000322,3,48000
TI0000231,T000083,P000680,5,225000
TI0000232,T000083,P000869,3,192000
TI0000233,T000083,P000128,4,234000
TI0000234,T000083,P000738,3,137000
TI0000235,T000084,P000714,2,123000
TI0000236,T000084,P000303,4,68000
TI0000237,T000084,P000568,4,106000
TI0000238,T000084,P000131,2,229000
TI0000239,T000085,P000583,1,369000
TI0000240,T000085,P000309,3,155000
TI0000241,T000085,P000416,3,429000
TI0000242,T000085,P000562,2,468000
TI0000243,T000085,P000854,4,14000
TI0000244,T000086,P000622,4,87000
TI0000245,T000086,P000671,2,156000
TI0000246,T000086,P000330,5,433000
TI0000247,T000086,P000477,4,24000
TI0000248,T000086,P000453,2,397000
TI0000249,T000087,P000291,5,51000
TI0000250,T000088,P000344,2,348000
TI0000251,T000088,P000096,3,92000
TI0000252,T000088,P000839,2,481000
TI0000253,T000088,P000975,2,442000
TI0000254,T000088,P000770,2,441000
TI0000255,T000089,P000048,2,31000
TI0000256,T000090,P000626,4,71000
TI0000257,T000090,P000871,4,375000
TI0000258,T000090,P000787,5,159000
TI0000259,T000090,P000075,2,5000
TI0000260,T000091,P000507,1,316000
TI0000261,T000091,P000410,1,470000
TI0000262,T000091,P000250,4,19000
TI0000263,T000091,P000152,2,27000
TI0000264,T000092,P000824,5,494000
TI0000265,T000092,P000981,4,197000
TI0000266,T000093,P000571,2,30000
TI0000267,T000094,P000468,2,394000
TI0000268,T000095,P000684,3,206000
TI0000269,T000095,P000544,4,153000
TI0000270,T000095,P000573,5,382000
TI0000271,T000095,P000610,5,357000
TI0000272,T000096,P000851,2,411000
TI0000273,T000096,P000929,4,440000
TI0000274,T000096,P000562,4,468000
TI0000275,T000096,P000457,3,364000
TI0000276,T000097,P000861,3,15000
TI0000277,T000097,P000653,5,183000
TI0000278,T000098,P000642,1,109000
TI0000279,T000098,P000245,3,52000
TI0000280,T000098,P000282,2,135000
TI0000281,T000098,P000451,3,128000
TI0000282,T000099,P000328,1,115000
TI0000283,T000099,P000915,2,76000
TI0000284,T000099,P000554,2,121000
TI0000285,T000100,P000393,2,306000
TI0000286,T000100,P000711,2,59000
TI0000287,T000101,P000425,4,322000
TI0000288,T000102,P000556,1,335000
TI0000289,T000102,P000478,2,108000
TI0000290,T000102,P000426,4,23000
TI0000291,T000103,P000927,1,382000
TI0000292,T000103,P000789,5,391000
TI0000293,T000103,P000599,4,193000
TI0000294,T000103,P000969,4,436000
TI0000295,T000104,P000966,3,461000
TI0000296,T000105,P000772,4,494000
TI0000297,T000105,P000400,5,271000
TI0000298,T000105,P000874,5,158000
TI0000299,T000106,P000920,4,76000
TI0000300,T000106,P000226,4,282000
TI0000301,T000106,P000500,1,144000
TI0000302,T000106,P000225,4,321000
TI0000303,T000106,P000280,3,47000
TI0000304,T000107,P000742,2,296000
TI0000305,T000107,P000170,5,125000
TI0000306,T000107,P000861,5,15000
TI0000307,T000107,P000479,1,16000
TI0000308,T000108,P000607,1,97000
TI0000309,T000108,P000578,4,446000
TI0000310,T000108,P000679,2,394000
TI0000311,T000108,P000028,4,322000
TI0000312,T000109,P000052,4,98000
TI0000313,T000109,P000267,3,399000
TI0000314,T000110,P000466,3,239000
TI0000315,T000110,P000335,4,206000
TI0000316,T000111,P000771,4,386000
TI0000317,T000111,P000975,3,442000
TI0000318,T000111,P000852,1,246000
TI0000319,T000112,P000020,3,113000
TI0000320,T000112,P000768,2,226000
TI0000321,T000112,P000553,1,480000
TI0000322,T000112,P000054,1,345000
TI0000323,T000113,P000973,2,446000
TI0000324,T000114,P000860,5,122000
TI0000325,T000114,P000021,2,421000
TI0000326,T000115,P000130,1,418000
TI0000327,T000115,P000485,5,67000
TI0000328,T000116,P000477,3,24000
TI0000329,T000116,P000717,3,96000
TI0000330,T000117,P000621,1,495000
TI0000331,T000117,P000622,2,87000
TI0000332,T000118,P000111,3,340000
TI0000333,T000118,P000593,5,449000
TI0000334,T000118,P000027,4,253000
TI0000335,T000119,P000965,5,380000
TI0000336,T000119,P000733,2,108000
TI0000337,T000119,P000204,1,37000
TI0000338,T000119,P000078,3,146000
TI0000339,T000120,P000825,1,436000
TI0000340,T000120,P000124,3,295000
TI0000341,T000120,P000816,5,178000
TI0000342,T000120,P000580,4,441000
TI0000343,T000120,P000802,3,117000
TI0000344,T000121,P000519,3,472000
TI0000345,T000122,P000870,4,173000
TI0000346,T000123,P000109,4,474000
TI0000347,T000123,P000444,2,488000
TI0000348,T000123,P000984,4,116000
TI0000349,T000123,P000371,2,331000
TI0000350,T000124,P000989,5,184000
TI0000351,T000124,P000667,4,33000
TI0000352,T000124,P000277,4,496000
TI0000353,T000124,P000631,4,272000
TI0000354,T000124,P000828,5,85000
TI0000355,T000125,P000331,1,330000
TI0000356,T000125,P000873,3,115000
TI0000357,T000125,P000252,4,51000
TI0000358,T000126,P000769,5,471000
TI0000359,T000126,P000476,5,432000
TI0000360,T000127,P000345,3,158000
TI0000361,T000127,P000030,2,129000
TI0000362,T000127,P000507,4,316000
TI0000363,T000127,P000872,2,163000
TI0000364,T000128,P000817,3,389000
TI0000365,T000128,P000265,5,295000
TI0000366,T000128,P000349,3,67000
TI0000367,T000129,P000011,2,64000
TI0000368,T000129,P000530,4,148000
TI0000369,T000129,P000971,4,456000
TI0000370,T000129,P000196,5,405000
TI0000371,T000129,P000088,2,380000
TI0000372,T000130,P000662,1,48000
TI0000373,T000130,P000729,1,390000
TI0000374,T000130,P000503,3,261000
TI0000375,T000130,P000459,2,407000
TI0000376,T000131,P000709,5,442000
TI0000377,T000131,P000250,3,19000
TI0000378,T000131,P000314,4,365000
TI0000379,T000131,P000680,5,225000
TI0000380,T000132,P000353,3,294000
TI0000381,T000132,P000436,4,137000
TI0000382,T000132,P000764,3,375000
TI0000383,T000132,P000564,3,229000
TI0000384,T000132,P000339,3,44000
TI0000385,T000133,P000124,2,295000
TI0000386,T000133,P000739,3,471000
TI0000387,T000134,P000761,5,266000
TI0000388,T000135,P000197,4,231000
TI0000389,T000135,P000222,3,60000
TI0000390,T000136,P000779,2,37000
TI0000391,T000136,P000538,3,479000
TI0000392,T000136,P000612,2,274000
TI0000393,T000136,P000290,3,381000
TI0000394,T000136,P000103,2,261000
TI0000395,T000137,P000015,2,195000
TI0000396,T000137,P000726,3,87000
TI0000397,T000137,P000547,1,99000
TI0000398,T000138,P000567,3,438000
TI0000399,T000139,P000654,4,349000
TI0000400,T000139,P000890,1,305000
TI0000401,T000140,P000588,3,18000
TI0000402,T000141,P000491,1,256000
TI0000403,T000141,P000452,3,266000
TI0000404,T000141,P000349,4,67000
TI0000405,T000141,P000189,1,327000
TI0000406,T000142,P000411,4,316000
TI0000407,T000143,P000591,1,258000
TI0000408,T000144,P000153,5,400000
TI0000409,T000144,P000831,3,81000
TI0000410,T000145,P000255,1,221000
TI0000411,T000146,P000783,5,111000
TI0000412,T000146,P000427,2,90000
TI0000413,T000146,P000621,5,495000
TI0000414,T000146,P000611,4,283000
TI0000415,T000146,P000810,4,450000
TI0000416,T000147,P000305,3,65000
TI0000417,T000147,P000881,5,136000
TI0000418,T000147,P000603,5,131000
TI0000419,T000147,P000440,1,354000
TI0000420,T000148,P000984,2,116000
TI0000421,T000148,P000758,2,372000
TI0000422,T000148,P000102,3,443000
TI0000423,T000148,P000971,1,456000
TI0000424,T000148,P000782,2,9000
TI0000425,T000149,P000178,1,208000
TI0000426,T000149,P000566,2,294000
TI0000427,T000150,P000419,4,124000
TI0000428,T000151,P000482,3,81000
TI0000429,T000151,P000299,4,107000
TI0000430,T000151,P000034,1,260000
TI0000431,T000151,P000238,2,276000
TI0000432,T000151,P000296,3,47000
TI0000433,T000152,P000678,1,103000
TI0000434,T000152,P000824,5,494000
TI0000435,T000152,P000957,2,265000
TI0000436,T000152,P000203,2,17000
TI0000437,T000152,P000436,3,137000
TI0000438,T000153,P000074,2,331000
TI0000439,T000153,P000062,3,195000
TI0000440,T000154,P000767,4,289000
TI0000441,T000154,P000845,1,89000
TI0000442,T000154,P000583,4,369000
TI0000443,T000154,P000944,3,439000
TI0000444,T000154,P000296,4,47000
TI0000445,T000155,P000513,4,117000
TI0000446,T000155,P000553,1,480000
TI0000447,T000155,P000506,5,168000
TI0000448,T000156,P000911,4,293000
TI0000449,T000157,P000619,1,292000
TI0000450,T000157,P000257,2,41000
TI0000451,T000157,P000027,5,253000
TI0000452,T000158,P000974,3,210000
TI0000453,T000158,P000022,5,34000
TI0000454,T000158,P000784,1,147000
TI0000455,T000158,P000689,2,205000
TI0000456,T000158,P000842,4,464000
TI0000457,T000159,P000668,5,154000
TI0000458,T000159,P000453,4,397000
TI0000459,T000159,P000939,4,326000
TI0000460,T000159,P000285,1,332000
TI0000461,T000159,P000186,4,117000
TI0000462,T000160,P000419,1,124000
TI0000463,T000160,P000342,2,213000
TI0000464,T000160,P000329,3,59000
TI0000465,T000161,P000711,4,59000
TI0000466,T000161,P000508,5,260000
TI0000467,T000161,P000296,1,47000
TI0000468,T000161,P000679,4,394000
TI0000469,T000162,P000323,3,285000
TI0000470,T000163,P000119,4,338000
TI0000471,T000163,P000994,5,25000
TI0000472,T000163,P000792,1,312000
TI0000473,T000164,P000474,3,258000
TI0000474,T000164,P000424,5,183000
TI0000475,T000164,P000056,4,99000
TI0000476,T000164,P000193,4,296000
TI0000477,T000164,P000531,1,336000
TI0000478,T000165,P000274,2,383000
TI0000479,T000165,P000563,3,391000
TI0000480,T000166,P000902,1,279000
TI0000481,T000166,P000716,5,306000
TI0000482,T000166,P000497,2,188000
TI0000483,T000166,P000125,2,125000
TI0000484,T000167,P000565,4,58000
TI0000485,T000167,P000015,1,195000
TI0000486,T000167,P000566,2,294000
TI0000487,T000168,P000473,1,321000
TI0000488,T000169,P000511,3,408000
TI0000489,T000169,P000956,5,365000
TI0000490,T000170,P000426,4,23000
TI0000491,T000170,P000855,2,459000
TI0000492,T000170,P000495,4,241000
TI0000493,T000171,P000149,5,195000
TI0000494,T000171,P000393,2,306000
TI0000495,T000171,P000196,1,405000
TI0000496,T000171,P000944,3,439000
TI0000497,T000171,P000614,4,412000
TI0000498,T000172,P000957,3,265000
TI0000499,T000172,P000807,1,423000
TI0000500,T000172,P000520,3,107000
TI0000501,T000173,P000858,4,418000
TI0000502,T000173,P000602,2,286000
TI0000503,T000173,P000594,4,154000
TI0000504,T000174,P000496,5,221000
TI0000505,T000174,P000354,4,59000
TI0000506,T000174,P000341,4,339000
TI0000507,T000174,P000566,3,294000
TI0000508,T000174,P000782,2,9000
TI0000509,T000175,P000586,2,415000
TI0000510,T000175,P000393,4,306000
TI0000511,T000176,P000326,4,308000
TI0000512,T000177,P000396,2,497000
TI0000513,T000177,P000680,4,225000
TI0000514,T000177,P000812,1,103000
TI0000515,T000177,P000841,2,463000
TI0000516,T000178,P000989,4,184000
TI0000517,T000178,P000605,1,371000
TI0000518,T000178,P000340,5,26000
TI0000519,T000178,P000891,4,483000
TI0000520,T000178,P000103,1,261000
TI0000521,T000179,P000420,2,343000
TI0000522,T000179,P000892,1,81000
TI0000523,T000180,P000801,5,131000
TI0000524,T000180,P000993,4,131000
TI0000525,T000180,P000272,1,404000
TI0000526,T000180,P000347,3,393000
TI0000527,T000181,P000390,4,99000
TI0000528,T000181,P000978,5,390000
TI0000529,T000181,P000325,1,448000
TI0000530,T000181,P000642,5,109000
TI0000531,T000181,P000736,1,180000
TI0000532,T000182,P000647,3,124000
TI0000533,T000182,P000701,2,283000
TI0000534,T000183,P000445,1,401000
TI0000535,T000184,P000455,2,70000
TI0000536,T000185,P000926,3,20000
TI0000537,T000185,P000030,1,129000
TI0000538,T000185,P000048,3,31000
TI0000539,T000186,P000384,2,496000
TI0000540,T000186,P000442,5,328000
TI0000541,T000186,P000150,4,173000
TI0000542,T000187,P000699,1,12000
TI0000543,T000187,P000812,5,103000
TI0000544,T000187,P000185,4,306000
TI0000545,T000187,P000175,5,369000
TI0000546,T000187,P000180,2,177000
TI0000547,T000188,P000935,4,207000
TI0000548,T000188,P000598,3,357000
TI0000549,T000188,P000147,4,14000
TI0000550,T000188,P000238,3,276000
TI0000551,T000189,P000921,4,474000
TI0000552,T000190,P000694,1,248000
TI0000553,T000190,P000560,4,113000
TI0000554,T000190,P000162,3,401000
TI0000555,T000191,P000307,3,263000
TI0000556,T000191,P000655,4,152000
TI0000557,T000191,P000986,3,86000
TI0000558,T000191,P000435,2,255000
TI0000559,T000191,P000707,4,410000
TI0000560,T000192,P000110,3,36000
TI0000561,T000192,P000243,5,78000
TI0000562,T000192,P000391,3,152000
TI0000563,T000192,P000586,3,415000
TI0000564,T000193,P000850,4,103000
TI0000565,T000194,P000009,1,48000
TI0000566,T000194,P000580,5,441000
TI0000567,T000194,P000886,4,116000
TI0000568,T000195,P000795,5,268000
TI0000569,T000195,P000819,3,493000
TI0000570,T000195,P000236,2,421000
TI0000571,T000196,P000636,2,236000
TI0000572,T000196,P000257,1,41000
TI0000573,T000197,P000317,4,450000
TI0000574,T000198,P000594,3,154000
TI0000575,T000199,P000093,3,128000
TI0000576,T000199,P000932,3,97000
TI0000577,T000200,P000180,5,177000
TI0000578,T000200,P000206,3,279000
TI0000579,T000200,P000136,5,78000
TI0000580,T000200,P000806,5,165000
TI0000581,T000201,P000851,4,411000
TI0000582,T000201,P000169,3,437000
TI0000583,T000201,P000264,3,55000
TI0000584,T000202,P000480,1,329000
TI0000585,T000203,P000773,2,142000
TI0000586,T000203,P000990,4,117000
TI0000587,T000204,P000375,3,231000
TI0000588,T000204,P000093,5,128000
TI0000589,T000204,P000810,1,450000
TI0000590,T000204,P000405,4,47000
TI0000591,T000204,P000015,3,195000
TI0000592,T000205,P000599,3,193000
TI0000593,T000205,P000391,1,152000
TI0000594,T000205,P000843,2,26000
TI0000595,T000206,P000026,5,205000
TI0000596,T000206,P000635,3,137000
TI0000597,T000206,P000906,5,44000
TI0000598,T000206,P000966,2,461000
TI0000599,T000207,P000651,4,489000
TI0000600,T000208,P000665,2,87000
TI0000601,T000208,P000419,1,124000
TI0000602,T000208,P000120,1,325000
TI0000603,T000209,P000505,2,234000
TI0000604,T000209,P000119,5,338000
TI0000605,T000209,P000100,2,180000
TI0000606,T000210,P000465,5,498000
TI0000607,T000210,P000380,4,332000
TI0000608,T000210,P000687,5,341000
TI0000609,T000210,P000973,2,446000
TI0000610,T000211,P000671,5,156000
TI0000611,T000211,P000102,4,443000
TI0000612,T000211,P000854,3,14000
TI0000613,T000211,P000502,1,286000
TI0000614,T000212,P000223,2,446000
TI0000615,T000212,P000455,3,70000
TI0000616,T000212,P000456,1,45000
TI0000617,T000213,P000558,3,352000
TI0000618,T000213,P000924,1,243000
TI0000619,T000213,P000661,4,53000
TI0000620,T000214,P000195,4,61000
TI0000621,T000214,P000992,1,365000
TI0000622,T000214,P000126,2,399000
TI0000623,T000215,P000995,2,25000
TI0000624,T000215,P000022,2,34000
TI0000625,T000215,P000052,5,98000
TI0000626,T000215,P000806,2,165000
TI0000627,T000215,P000342,1,213000
TI0000628,T000216,P000213,2,47000
TI0000629,T000216,P000601,3,469000
TI0000630,T000216,P000222,2,60000
TI0000631,T000216,P000833,5,496000
TI0000632,T000216,P000891,1,483000
TI0000633,T000217,P000880,5,328000
TI0000634,T000217,P000149,3,195000
TI0000635,T000217,P000134,2,40000
TI0000636,T000218,P000677,1,144000
TI0000637,T000219,P000016,2,84000
TI0000638,T000219,P000367,5,35000
TI0000639,T000220,P000017,1,137000
TI0000640,T000220,P000179,2,298000
TI0000641,T000220,P000272,4,404000
TI0000642,T000221,P000117,3,336000
TI0000643,T000221,P000764,5,375000
TI0000644,T000221,P000066,5,30000
TI0000645,T000221,P000488,1,149000
TI0000646,T000221,P000460,4,103000
TI0000647,T000222,P000227,5,63000
TI0000648,T000222,P000969,3,436000
TI0000649,T000222,P000630,4,273000
TI0000650,T000222,P000045,1,232000
TI0000651,T000222,P000745,1,487000
TI0000652,T000223,P000868,1,397000
TI0000653,T000223,P000412,4,111000
TI0000654,T000223,P000437,4,309000
TI0000655,T000223,P000703,1,95000
TI0000656,T000224,P000330,5,433000
TI0000657,T000225,P000068,3,42000
TI0000658,T000225,P000130,5,418000
TI0000659,T000226,P000562,5,468000
TI0000660,T000226,P000730,3,218000
TI0000661,T000226,P000333,4,140000
TI0000662,T000226,P000391,5,152000
TI0000663,T000226,P000612,5,274000
TI0000664,T000227,P000102,5,443000
TI0000665,T000227,P000813,2,125000
TI0000666,T000227,P000719,4,148000
TI0000667,T000227,P000118,4,346000
TI0000668,T000228,P000424,4,183000
TI0000669,T000228,P000348,4,62000
TI0000670,T000229,P000748,3,204000
TI0000671,T000229,P000098,3,404000
TI0000672,T000229,P000321,3,352000
TI0000673,T000229,P000438,2,53000
TI0000674,T000230,P000069,1,346000
TI0000675,T000230,P000094,4,453000
TI0000676,T000230,P000852,1,246000
TI0000677,T000230,P000088,3,380000
TI0000678,T000231,P000570,5,68000
TI0000679,T000231,P000062,5,195000
TI0000680,T000232,P000338,4,160000
TI0000681,T000232,P000687,1,341000
TI0000682,T000232,P000126,3,399000
TI0000683,T000232,P000421,5,489000
TI0000684,T000232,P000363,3,390000
TI0000685,T000233,P000107,2,60000
TI0000686,T000233,P000592,2,296000
TI0000687,T000233,P000520,4,107000
TI0000688,T000234,P000868,3,397000
TI0000689,T000234,P000111,5,340000
TI0000690,T000235,P000118,5,346000
TI0000691,T000235,P000781,2,280000
TI0000692,T000235,P000286,4,333000
TI0000693,T000236,P000998,5,5000
TI0000694,T000236,P000786,1,276000
TI0000695,T000236,P000839,5,481000
TI0000696,T000236,P000637,3,351000
TI0000697,T000236,P000629,1,468000
TI0000698,T000237,P000280,3,47000
TI0000699,T000237,P000720,3,318000
TI0000700,T000238,P000007,2,415000
TI0000701,T000238,P000186,5,117000
TI0000702,T000238,P000891,4,483000
TI0000703,T000239,P000146,1,465000
TI0000704,T000240,P000765,5,452000
TI0000705,T000241,P000386,4,330000
TI0000706,T000241,P000430,3,162000
TI0000707,T000242,P000379,3,397000
TI0000708,T000242,P000320,5,161000
TI0000709,T000243,P000087,5,395000
TI0000710,T000243,P000905,1,289000
TI0000711,T000243,P000054,1,345000
TI0000712,T000243,P000160,3,304000
TI0000713,T000243,P000162,4,401000
TI0000714,T000244,P000498,3,288000
TI0000715,T000244,P000622,2,87000
TI0000716,T000244,P000453,5,397000
TI0000717,T000244,P000425,1,322000
TI0000718,T000245,P000441,5,373000
TI0000719,T000245,P000114,4,482000
TI0000720,T000245,P000291,5,51000
TI0000721,T000246,P000047,5,302000
TI0000722,T000246,P000226,1,282000
TI0000723,T000246,P000405,1,47000
TI0000724,T000247,P000309,2,155000
TI0000725,T000247,P000969,2,436000
TI0000726,T000248,P000297,1,306000
TI0000727,T000248,P000336,4,47000
TI0000728,T000248,P000123,4,436000
TI0000729,T000249,P000133,5,249000
TI0000730,T000249,P000390,2,99000
TI0000731,T000250,P000573,1,382000
TI0000732,T000250,P000854,4,14000
TI0000733,T000250,P000685,1,19000
TI0000734,T000250,P000826,4,232000
